check_id	status	evidence_path_or_field	assessment
package_scope	PASS	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/summaries/input_manifest.tsv	All three comparison rows report full whole-genome haplotype FASTA records from recovered WashU assemblies, with 23 query records and 46 joint-parent target records where expected; no 500 kb telomeric-window FASTA, chromosome-only extract, or arm-only extract is used for primary outputs.
source_fastas	PASS	input_manifest.tsv query_source_fasta,target_source_fasta	Primary source FASTAs are /moosefs/erikg/phrs/recovery/fig5-whole-genome-joint-parent-sweepga/PAN010.fa.gz, PAN011.fa.gz, PAN027.fa.gz, and PAN028.fa.gz; these are recovered full WashU assemblies, not the historical washu.1Mb.telo_500kb_trimmed.fa.gz input.
raw_many_many_generation	PASS	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/summaries/slurm_jobs.tsv	Raw sweepGA stage records jobs 1704307-1704309 as many:many, scaffold_jump 0, SWEEPGA_DEVSHM_BASE /dev/shm.
devshm_raw_fastga	PASS	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/logs/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.1704307.log; PAN027mat_vs_PAN010_joint.sweepga_many_many_j0.1704308.log; PAN028mat_vs_PAN027_joint.sweepga_many_many_j0.1704309.log	Logs show scratch=/dev/shm/sg.<job>.*, --temp-dir /dev/shm/sg.<job>.*, staged q.fa/t.fa under /dev/shm, FastGA running in /dev/shm, and FAtoGDB/GIXmake TMPDIR or -P paths under /dev/shm.
whole_genome_chopping	PASS	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/summaries/chop_manifest.tsv	Raw whole-genome many:many PAFs were chopped before filtering. The manifest maps each raw_paf/*.sweepga_many_many_j0.paf.gz to chopped_paf/*.chopped_l500000_o0.paf.gz and preserves total query bp.
chop_parameters	PASS_WITH_CAUTION	chop_length_bp=500000; overlap_bp=0	The parameters are appropriate for replacing raw multi-Mb rows with bounded query-axis fragments before sweepGA filtering, and they match the historical 500 kb display scale. They are still coarse for sub-50 kb donor tracts, so absence of chr3q after chopping should be interpreted as a negative result for this run rather than proof of no local homology.
filter_input_order	PASS	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_joint_parent/summaries/filter_manifest.tsv	Every filter_id, including many_many_chopped, one_one_chopped, and four_many_chopped, uses the chopped_paf/*.chopped_l500000_o0.paf.gz input. Evidence decisions in this review use chopped filters only; unchopped raw is diagnostic.
devshm_filtering	PASS	filter_manifest.tsv sweepga_devshm_base; logs/filter_matrix.1704311.out	Filter manifest records /dev/shm for all filters. The Slurm log shows sweepga_filter_scratch_base=/dev/shm and commands reading /dev/shm/sweepga_filter.*/input.paf and writing /dev/shm/sweepga_filter.*/filtered.paf.
bulk_artifact_location	PASS_WITH_NOTE	summaries/output_file_manifest.tsv; /moosefs/erikg/phrs/.wg-worktrees/agent-2616/...	The current review worktree does not contain raw_paf/, chopped_paf/, or filtered_paf/ directories because the multi-GB outputs are ignored, but output_file_manifest.tsv records relative artifact paths, sizes, and SHA-256 checksums, and the exact manifest paths under agent-2616 were present and streamed for this review.
primary_evidence_policy	PASS	segment_support.tsv	Primary decisions are based on chopped many:many and chopped 4:many. Chopped 1:1 is reported only as diagnostic, per task requirement.
par1_recovery	PASS	segment_support.tsv	PAR1_XY_positive_control is recovered in chopped many:many and chopped 4:many: chrY donor support covers 144096 bp and chrX same-chromosome support covers 362564 bp of the PAN027 paternal chrX PAR1 window.
pan027_chr9_chr3_recovery	FAIL_FOR_DIRECT_SCHEMATIC	segment_support.tsv	PAN027 chr9q/chr3q candidate is not recovered as a chr3q donor structure in chopped whole-genome many:many or 4:many. Both primary layers contain chr9 support only across the query window.
pan028_chr9_chr3_recovery	FAIL_FOR_DIRECT_SCHEMATIC	segment_support.tsv	PAN028 chr9q/chr3q candidate is not recovered as a chr3q donor structure in chopped whole-genome many:many or 4:many. Primary layers contain chr9 same-chromosome support plus one chr16 side-fragment row, but no chr3 support.
schematic_decision	NO_NEW_SCHEMATIC	this review	No optional sibling schematic directory was created because the corrected whole-genome direct-alignment evidence validates PAR1 but does not validate the autosomal chr9q/chr3q donor structures needed for a direct-alignment Fig5 schematic.
