window	stage	mantel_rho	mantel_p	n_arm	n_armpair
1Mb	leptotene	0.337361751756031	0.0185962807438512	26	319
1Mb	zygotene	0.295782304366789	0.00519896020795841	26	319
1Mb	pachytene	0.38215514316348	0.00359928014397121	26	319
1Mb	diplotene	0.352178273366602	0.0185962807438512	26	319
2Mb	leptotene	0.149168147489772	0.155568886222755	27	344
2Mb	zygotene	0.00234581898821955	0.500899820035993	27	344
2Mb	pachytene	0.167934839253797	0.113177364527095	27	344
2Mb	diplotene	0.185130029821901	0.111777644471106	27	344
4Mb	leptotene	0.00440544201505752	0.485302939412118	27	344
4Mb	zygotene	-0.0353066202243725	0.607878424315137	27	344
4Mb	pachytene	0.00289979052470231	0.484903019396121	27	344
4Mb	diplotene	0.10557647955461	0.226554689062188	27	344
